,OldIndex,IssueDate,"Permitm,No.",Ward,Parcel,Address,Owner,Contractor,WorkDescription,Cost,SNPNeighborhood(partial),TypeofWork(partial),TypeofStructure(partial)
159,57241,5/12/2020,BP-2020-01599,2,0001-D-00012-0000-00,"120 5TH AVE, Pittsburgh, 15222-",PGH NATIONAL BANK TRUSTEE,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS ON THE ENTIRE 12th FLOOR,240000.0,Central Business District,ADDITION / ALTERATION,Commercial - All other uses
160,57794,5/28/2020,18-B-04723,4,0052-N-00240-0000-00,"4665 FORBES AVE, Pittsburgh, 15213-",CARNEGIE MELLON UNIVERSITY,MASCARO CONSTRUCTION COMPANY LP,NEW 5-STORY BUILDING - CORE AND SHELL AND FIT-OUT EXCEPT FOR PARTIAL 1ST FLOOR TO REMAIN CORE AND SHELL - AMENDED TO EXPAND FIRST FLOOR FIT-OUT AREA AND RELOCATE REAR EGRESS FROM BASEMENT,11064047.0,North Oakland,NEW CONSTRUCTION,Commercial - All other uses
161,57841,5/29/2020,BP-2019-06249,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,MASCARO CONSTRUCTION COMPANY LP,"CONSTRUCT 2 STORY ADDITION, 1 STORY TICKET WINDOW AND INTERIOR & EXTERIOR RENOVATIONS",5363100.0,North Shore,ADDITION / ALTERATION,Commercial - All other uses
162,58023,6/4/2020,19-B-00946,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR AND EXTERIOR RENOVATIONS TO INCLUDE  RELOCATION OF EXISTING HELIPAD, CONSTRUCT NEW ADDITION FOR HELIPAD, ELEVATOR, AND STAIRS ON ROOF OF EXISTING HOSPITAL",6718833.0,Bluff,ADDITION / ALTERATION,Commercial - All other uses
163,59347,7/21/2020,BP-2019-06249,22,0008-J-00030-0000-00,"100 ART ROONEY AVE, Pittsburgh, PA 15212-",ALLEGHENY COUNTY,MASCARO CONSTRUCTION COMPANY LP,"CONSTRUCT 2 STORY ADDITION, 1 STORY TICKET WINDOW AND INTERIOR & EXTERIOR RENOVATIONS",5363100.0,North Shore,ADDITION / ALTERATION,Commercial - All other uses
164,59393,7/22/2020,BP-2020-11296,17,0014-D-00290-0000-00,"148 MONASTERY AVE, Pittsburgh, 15203-",ST PAUL MONASTERY,MASCARO CONSTRUCTION COMPANY LP,,74800.0,South Side Slopes,MINOR ALTERATION,Commercial - All other uses
165,59934,8/11/2020,EP-2020-02302,1,0002-J-00300-000A-00,"500 1ST AVE, Pittsburgh, 15219-",BUNCHER FAMILY FOUNDATION (THE),"Hatzel & Buehler, Inc","ALTERATIONS TO ELECTRICAL SYSTEM TO PROVIDE NEW POWER, LIGHTING & SECURITY FOR NEW ENTRY DOORS",69621.0,Central Business District,ADDITION / ALTERATION,Commercial - All other uses
166,59951,8/11/2020,SSP-2020-04316,1,0002-J-00300-000A-00,"500 1ST AVE, Pittsburgh, 15219-",BUNCHER FAMILY FOUNDATION (THE),Preferred Fire Protection,INSTALLATION OF SPRINKLER HEADS IN NEW VESTIBULES,5164.0,Central Business District,ADDITION / ALTERATION,Commercial - All other uses
167,59974,8/11/2020,BP-2020-02099,1,0002-J-00300-000A-00,"500 1ST AVE, Pittsburgh, 15219-",BUNCHER FAMILY FOUNDATION (THE),MASCARO CONSTRUCTION COMPANY LP,REPLACEMENT OF REVOLVING DOORS WITH NEW REVOLVING DOORS EQUIPPED WITH CARD READERS AS WELL AS  NEW GLAZED VESTIBULE ENCLOSURES IN ADDITION TO REPLACEMENT OF EXISTING SWINGING DOORS WITH AUTOMATIC OPERATED ACCESSIBLE DOORS.,651112.0,Central Business District,ADDITION / ALTERATION,Commercial - All other uses
168,60319,8/25/2020,MP-2020-03756,4,0028-F-00206-0000-00,"3422 FORBES AVE, Pittsburgh, 15213-",MURWEST LLC,RENICK BROTHERS CONSTRUCTION CO,MECHANICAL SYSTEM FOR OFFICE IN 4TH THROUGH 7TH FLOORS OF 8 STORY STRUCTURE,138500.0,Central Oakland,ADDITION / ALTERATION,Commercial
169,60370,8/25/2020,BP-2020-02710,4,0028-F-00206-0000-00,"3422 FORBES AVE, Pittsburgh, 15213-",MURWEST LLC,MASCARO CONSTRUCTION COMPANY LP,FIRST TENANT FIT OUT OF 4TH THROUGH 6TH AND PARTIAL 7TH FLOOR AS OFFICE IN 8 STORY STRUCTURE,80000.0,Central Oakland,NEW CONSTRUCTION,Commercial - All other uses
170,60372,8/26/2020,EP-2020-02271,7,0084-F-00164-0000-00,"6000 CENTRE AVE, Pittsburgh, 15206-",STEVENSON BUILDING LP,"Hatzel & Buehler, Inc",RELOCATE LIGHTING FIXTURES,5000.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
171,60388,8/26/2020,BP-2019-11234,7,0084-F-00164-0000-00,"6000 CENTRE AVE, Pittsburgh, 15206-",STEVENSON BUILDING LP,MASCARO CONSTRUCTION COMPANY LP,REMOVE AND CONSTRUCT INTERIOR WALL TO EXPAND PRIVATE OFFICE ON THIRD FLOOR OF EXISTING 3 STORY STRUCTURE,30000.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
172,60547,8/28/2020,BP-2020-03915,27,0075-E-00002-0000-00,"3300 PREBLE AVE, Pittsburgh, PA 15233",ALLEGHENY COUNTY SANITARY AUTHORITY,MASCARO CONSTRUCTION COMPANY LP,"CONSTRUCTION OF NEW PUMP, CHEMICAL, AND TREATMENT BUILDINGS, TANKS, AND PIPE GALLERIES AND EXTEND AND REPAIR EXISTING RIVER WALL",79143996.0,Brighton Heights;Marshall-Shadeland,NEW CONSTRUCTION,Commercial - All other uses
173,60647,9/1/2020,BP-2020-06105,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,Phase -2 Interior Renovation including Nourishment relocation and Supply Rooms on 7th Floor and duct work on roof,119935.5,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
174,60648,9/1/2020,BP-2020-03019,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR  ALTERATIONS AT 7TH FLOOR AND ROOF OF A MULTI-STORY HOSPITAL STRUCTURE,79957.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
175,61070,9/16/2020,18-B-03965,12,0171-E-00150-0000-00,"815 FREEPORT RD, Pittsburgh, 15215-",CITY OF PITTSBURGH,MASCARO CONTRACTING LP,INTERIOR RENOVATIONS  LEVEL 1  (7700 SF)  FOR STERILE PROCESSING DEPARTMENT AT A COMMERCIAL STRUCTURE,684469.0,Lincoln-Lemington-Belmar,ADDITION / ALTERATION,Commercial - All other uses
176,61126,9/17/2020,PLI-LO-2019-06632,5;4,0027-P-00080-0000-03,"3943 OHARA ST, Pittsburgh, 15213-",UNIVERSITY OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,"GRADING; REMOVAL OF VEGETATION, TREES AND/OR GROUND COVER; INSTALLATION OF IMPERMEABLE OR SEMI-PERMEABLE SURFACING",5500000.0,North Oakland;West Oakland;Terrace Village,,
177,61514,9/29/2020,BP-2020-10733,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,"UPGRADES TO EXISTING ELEVATORS INCLUDES DEMOLITION, REPLACEMENT AND REFURBISHMENT.",300000.0,Bluff,ADDITION / ALTERATION,Commercial - All other uses
178,61859,10/9/2020,BP-2020-06117,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,"Phase 3- Interior Renovation including Pharmacy Renovation/Expansion, Exterior work for New Air Handling unit on Roof",199892.5,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
179,61997,10/14/2020,BP-2020-13453,17,0014-D-00290-0000-00,"148 MONASTERY AVE, Pittsburgh, 15203-",ST PAUL MONASTERY,MASCARO CONSTRUCTION COMPANY LP,INTERIOR ALTERATIONS TO EXITING 3-STORY RETREAT CENTER,780000.0,South Side Slopes,ADDITION / ALTERATION,Commercial - All other uses
180,62210,10/22/2020,BP-2020-04965,22,0023-L-00020-0000-00,"1307 FEDERAL ST, Pittsburgh, 15212-",HTA-FEDERAL NORTH MOB LLC,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR ALTERATIONS TO 1,000 SQ. FT. ON 2ND FLOOR OF A 3 STORY STRUCTURE",155733.0,Central Northside,ADDITION / ALTERATION,Commercial - All other uses
181,62654,11/6/2020,BP-2020-18217,22,0023-M-00012-0000-00,"320 E NORTH AVE, Pittsburgh, PA 15212-",ALLEGHENY GENERAL HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,,152719.0,Central Northside,MINOR ALTERATION,Commercial - All other uses
182,62823,11/12/2020,BP-2020-15766,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATION CONVERTING A CONFERENCE ROOM INTO A STAFF WORKROOM...INSTALLATION OF 2 PNEUMATIC TUBE STATIONS, AND INFILL AN ABANDONED DUMBWAITER SHAFT. (PHASE 2 OF PHARMACY RELOCATION)",322496.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
183,63113,11/24/2020,BP-2020-15380,1,0002-M-00070-0000-00,"1400 LOCUST ST, Pittsburgh, 15219-",MERCY HOSPITAL OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,New exterior stair connecting two roof levels for maintenance use only. The access door for the maintenance area is also being replaced.,50000.0,Bluff,ADDITION / ALTERATION,Commercial - All other uses
184,63224,12/1/2020,BP-2020-16131,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,"RELOCATE  LEVEL G RESEARCH & PHYSICIST OFFICES (PHASE 3 OF PHARMACY RELOCATION), INCLUDING A 2 HOUR FIRE RATED EXHAUST DUCT SHAFT UP THROUGH THE ROOF",612059.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
185,63949,12/30/2020,BP-2020-17394,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,Infill floor at a decommissioned shaft to create a new team room (office space). Install new partition walls and refinish newly created room and adjacent nourishment room.,170000.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
186,64806,2/5/2021,BP-2020-20149,22,0023-M-00012-0000-00,"320 E NORTH AVE, Pittsburgh, PA 15212-",ALLEGHENY GENERAL HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR ALTERATIONS TO RECONFIGURE EXISTING OFFICE AND REPLACEMENT OF EXTERIOR WINDOWS,469955.0,Central Northside,ADDITION / ALTERATION,Commercial - All other uses
187,64933,2/11/2021,EP-2020-20176,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,M&J ELECTRICAL CONTRACTING INC.,RENNOVATION OF ELECTRICAL TO SUPPLY CONVERTED CART STORAGE AREA,5000.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
188,64953,2/11/2021,BP-2020-20164,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,Interior Renovation to remove doors and previously infilled abandoned dumb waiter doors and finish out space,50000.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
189,65374,2/25/2021,EP-2020-11941,17,0012-E-00365-0000-00,"1736 E CARSON ST, Pittsburgh, 15203-",PEOPLES PITTSBURGH TRUST CO,MARSULA ELECTRIC INC,"MODIFICATIONS TO EXISTING ELECTRICAL SYSTEM INCLUDING NEW LIGHTING, BRANCH CIRCUITS, AND POWER DEVICES",120000.0,South Side Flats,ADDITION / ALTERATION,Commercial - All other uses
190,65384,2/25/2021,MP-2020-11945,17,0012-E-00365-0000-00,"1736 E CARSON ST, Pittsburgh, 15203-",PEOPLES PITTSBURGH TRUST CO,HAYES MECHANICAL,NEW MECHANICAL SYSTEM FOR EXISTING BANK,40000.0,South Side Flats,ADDITION / ALTERATION,Commercial
191,65398,2/25/2021,BP-2020-11723,17,0012-E-00365-0000-00,"1736 E CARSON ST, Pittsburgh, 15203-",PEOPLES PITTSBURGH TRUST CO,MASCARO CONSTRUCTION COMPANY LP,INTERIOR AND EXTERIOR ALTERATIONS TO 1-STORY BANK WITH BASEMENT,76000.0,South Side Flats,ADDITION / ALTERATION,Commercial - All other uses
192,66550,4/8/2021,EP-2021-01177,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,M&J ELECTRICAL CONTRACTING INC.,"1) New lighting, wiring, and power devices for room re-configuration in Level G of the hospital. 2) New lighting and power for new mechanical equipment at new elevated air handler support structure.",225000.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
193,66564,4/8/2021,BP-2020-20657,7,0051-R-00150-0000-00,"5230 CENTRE AVE, Pittsburgh, PA 15232-",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,"Interior Level 2 alteration to existing pharmacy and offices for new central supply clean holding and central supply decontamination rooms (Space reconfig). New loading dock door, new elevated air handling unit steel support structure with caisson deep foundations. New duct support bridge being installed from new AHU to existing building.",1304663.0,Shadyside,ADDITION / ALTERATION,Commercial - All other uses
194,67585,5/11/2021,EP-2021-03917,16,0030-B-00200-0000-00,"3400 SOUTH WATER ST, Pittsburgh, PA 15203-",UPMC PRESBYTERIAN,CLISTA ELECTRIC INC,"New wiring, power devices, and lighting for the interior alterations to the existing dining and food holding spaces.",115000.0,South Side Flats,ADDITION / ALTERATION,Commercial - All other uses
195,67622,5/11/2021,BP-2021-03601,16,0030-B-00200-0000-00,"3400 SOUTH WATER ST, Pittsburgh, PA 15203-",UPMC PRESBYTERIAN,MASCARO CONSTRUCTION COMPANY LP,Interior alterations (Level 2) to existing cafeteria and food holding area.,400000.0,South Side Flats,ADDITION / ALTERATION,Commercial - All other uses
