,OldIndex,IssueDate,PermitNo.,Ward,Parcel,Address,Owner,Contractor,WorkDescription,Cost,SNPNeighborhood(partial),TypeofWork(partial),TypeofStructure(partial)
852,42124,11/7/2018,18-S-00511,2,0001D00012000000,"120 5TH AVE, PITTSBURGH, PA 15222",PGH NATIONAL BANK TRUSTEE,PREFERRED FIRE PROTECTION INC,INSTALL NEW SPRINKLER SYSTEM,54843.0,,,
853,42134,11/7/2018,18-B-03663,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,"MBM CONTRACTING, INC",INTERIOR RENOVATIONS ONLY 29TH FLOOR,173000.0,,,
854,42139,11/7/2018,18-S-00580,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,PREFERRED FIRE PROTECTION INC,RELOCATE 6 SPRINKLER HEADS,1820.0,,,
855,42259,11/8/2018,17-B-05215,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,DICK BUILDING COMPANY LLC,INTERIOR RENOVATIONS TO 1600 SQ FT STORAGE ROOM ON LEVEL 3 AT REAR OF HOSPITAL,59751.0,,,
856,42356,11/13/2018,18-E-02498,21,0022J00125000000,"1720 METROPOLITAN ST, PITTSBURGH, PA 15233",JCM PROPERTIES,CLISTA ELECTRIC INC,ELECTRICAL INTERIOR FIT OUT ASSOCIATED WITH 18-B-00443/ENERGY INSP REQUIRED LIGHTING COMCHECK 2009 IECC,765000.0,,,
858,42367,11/13/2018,18-M-01348,22,0023R00050000001,"6 ALLEGHENY SQ, PITTSBURGH, PA 15212",FOUR ALLEGHENY ASSOCIATES LP,MCKAMISH,"AMENDING 17-M-01747...HVAC RENOVATIONS ON GROUND, 1RST, & 2ND LEVELS.",304565.0,,,
859,42378,11/14/2018,18-F-00170,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,PRECISION ELECTRICAL,INSTALL ADDITIONAL DEVICES,2500.0,,,
860,42404,11/14/2018,18-S-00411,16,0030B00200000000,"3400 S WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,"ABCO FIRE PROTECTION, INC.",NEW/UPGRADE/ADDITIONAL FM-200 SYSTEM ASSOCIATED WITH 18-FLOOD-00108/18-M-01191/18-F-00265,15000.0,,,
861,42425,11/14/2018,18-F-00265,16,0030B00200000000,"3400 S WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,ABCO FIRE PROTECTION,NEW/UPGRADE/ADDITIONAL FM-200 SYSTEM ASSOCIATED WITH 18-FLOOD-00108/18-M-01191/18-S-00411,9000.0,,,
862,42449,11/15/2018,18-E-02236,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,WELLINGTON POWER CORP,ELECTRICAL ALTERATIONS RELATED TO 18-B-02620-ENERGY INSP LIGHTING COMCHECK 2009 IECC,600000.0,,,
863,42469,11/16/2018,18-M-01359,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MCKAMISH,HVAC,5746.0,,,
864,42508,11/19/2018,18-B-03534,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,DICK BUILDING COMPANY LLC,INTERIOR RENOVATIONS TO THIRD FLOOR (323 SF)  CYSTOSCOPY ROOM #2  AT A HOSPITAL,353077.0,,,
865,42516,11/19/2018,18-E-02572,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,PRECISION ELECTRICAL,ELECTRICAL ALTERATIONS TO CYSTOLOGY ROOM #2 ON THE 3RD FLOOR RELATED TO 18-B-03534,25000.0,,,
866,42536,11/19/2018,18-E-02670,1,0002J00104000000,"301 GRANT ST, PITTSBURGH, PA 15219",PITTSBURGH CBD LLC,,NEW FIXTURES AND OUTLETS - RELATED TO 18-B-02827,45000.0,,,
867,42620,11/21/2018,18-B-03613,21,0022J00125000000,"1720 METROPOLITAN ST, PITTSBURGH, PA 15233",JCM PROPERTIES,MASCARO CONTRACTING LP,(AMENDING 18-B-00443) CONSTRUCTION OF SECOND FLOOR ADDITION OF OFFICE USE AND NEW 46 SPACE ACCESSORY SURFACE PARKING LOT. INTERIOR RENOVATIONS TO EXISTING AND NEWLY CONSTRUCTED CORE AND SHELL AND NEWLY CONSTRUCTED 46 SPACE ACCESSORY SURFACE PARKING LOT.,4000000.0,,,
869,42694,11/26/2018,18-F-00266,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,WELLINGTON POWER CORP,"FIRE ALARM ALTERATIONS ON 2ND FLOOR NW WING, RELATED TO 18-B-02442",2500.0,,,
870,42746,11/27/2018,18-S-00540,21,0022J00125000000,"1720 METROPOLITAN ST, PITTSBURGH, PA 15233",JCM PROPERTIES,"ABEL FIRE PROTECTION, INC.",INSTALL (57) PENDANTS AND (63) UPRIGHTS IN BUILDING ADDITION RELATED TO 18-B-00443,38000.0,,,
872,42748,11/27/2018,18-F-00321,4,0028F00206000000,"3420 FORBES AVE, PITTSBURGH, PA 15213",MURWEST LLC,CLISTA ELECTRIC INC,NEW FIRE ALARM SYSTEM THROUGHOUT (CORE / SHELL ONLY)...RELATED TO 17-B-03921.,65000.0,,,
874,42797,11/29/2018,18-S-00377,16,0030B00200000000,"3400 SOUTH WATER ST, PITTSBURGH, PA 15203",UPMC PRESBYTERIAN,PREFERRED FIRE PROTECTION INC,REMOVE/DEMO EXIST SPRINKLERS AND REROUTE EXIST WET PIPE SPRINKLER LINES TO OUTSIDE OF COMP ROOM 2018 AND TELECOM ROOM 2033,3350.0,,,
875,42808,11/29/2018,18-E-01623,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,HANLON ELECTRIC COMPANY,EMERGENCY POWER SYSTEM UPGRADES TO MEDICAL ARTS BUILDING.,157000.0,,,
880,42819,11/29/2018,18-M-01275,21,0022J00125000000,"1720 METROPOLITAN ST, PITTSBURGH, PA 15233",JCM PROPERTIES,MCKAMISH,"NEW ROOFTOP UNITS, BOILERS, PIPING, DUCTWORK, VAVS, DIFFUSERS, AND EXHAUSTS - RELATED TO 18-B-00443",257160.0,,,
882,42915,12/3/2018,18-B-03484,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,"(AMENDING 18-B-00071)  INTERIOR RENOVATIONS TO FLOORS 2, 12, 14, 16, AND 20 IN 34-STORY STRUCTURE",1885471.0,,,
885,42929,12/4/2018,18-F-00417,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,"MILLER ELECTRIC CONSTRUCTION, INC","INSTALL NEW FIRE ALARM DEVICES FOR EXISTING FIRE ALARM IN FIRST FLOOR LOBBY AND MEZZANINE, RELATED TO 18-B-01577",100000.0,,,
888,42952,12/4/2018,18-B-03312,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 5TH FLOOR (1500 SF) ONLY AT A  COMMERCIAL STRUCTURE,161619.0,,,
891,42994,12/5/2018,18-B-04019,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,LANDAU BUILDING CO,INTERIOR RENOVATIONS TO  (1500 SF)  3RD FLOOR OF  POSNER TOWER FOR OFFICE SPACE,15000.0,,,
894,43042,12/6/2018,18-M-01299,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MCKAMISH,RENOVATION TO ROOM TO ACCOMODATE NEW EQUIPMENT RELATED TO 18-B-03534,5786.0,,,
895,43087,12/10/2018,18-F-00327,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,WELLINGTON POWER CORP,FIRE ALARM RELATED TO 18-B-02620,40000.0,,,
896,43088,12/10/2018,18-S-00516,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,FIRE FIGHTER SALES & SERVICE CO,RELOCATE SPRINKLER HEADS - RELATED TO 17-B-05215,2831.0,,,
897,43132,12/11/2018,18-E-02399,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,FERRY ELECTRIC COMPANY,ELECTRICAL ALTERATIONS TO 5TH FLOOR MAIN RELATED TO 18-B-03312,118160.0,,,
900,43151,12/11/2018,18-F-00347,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,FERRY ELECTRIC COMPANY,RELOCATION/ADDITION OF FIRE ALARM DEVICES ON EXISTING CIRCUITS RELATED TO 18-B-03312,6500.0,,,
903,43175,12/12/2018,18-E-03368,2,0001D00012000000,"120 5TH AVE, PITTSBURGH, PA 15222",PGH NATIONAL BANK TRUSTEE,KEYSTONE ELECTRICAL,ALTERATIONS,20000.0,,,
904,43180,12/12/2018,18-B-02862,4,0052N00240000000,"4665 FORBES AVE, PITTSBURGH, PA 15213",CARNEGIE MELLON UNIVERSITY,MASCARO CONSTRUCTION COMPANY LP,"FOUNDATION WALLS, SUPERSTRUCTURE, AND SITE UTILITY INFRASTRUCTURE.",3500000.0,,,
905,43181,12/12/2018,18-B-02558,4,0052N00240000000,"4665 FORBES AVE, PITTSBURGH, PA 15213",CARNEGIE MELLON UNIVERSITY,MASCARO CONSTRUCTION COMPANY LP,DEEP FOUNDATION ONLY,200000.0,,,
906,43350,12/17/2018,18-E-02881,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,LIGHTHOUSE ELECTRIC CO,ELECTRICAL ALTERATIONS RELATED 18-B-03903/ENERGY INSPCOMCHECK 2015 IECC,600000.0,,,
907,43389,12/18/2018,18-S-00566,4,0028F00206000000,"3420 FORBES AVE, PITTSBURGH, PA 15213",MURWEST LLC,SCALISE INDUSTRIES CORPORATION,"NEW FIRE PUMP, STANDPIPES, AND SPRINKLER SYSTEM FOR ENTIRE BUILDING RELATED TO 18-B-03178",315000.0,,,
909,43412,12/18/2018,18-M-01127,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,SSM INDUSTRIES INC,HVAC RELATED TO 18-B-02620,875000.0,,,
910,43431,12/19/2018,18-B-03903,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,TURNER CONSTRUCTION COMPANY,"INTERIOR RENOVATIONS TO 23,222 SQ FT OF THE SECOND FLOOR OF A TWO STORY STRUCUTRE",1335000.0,,,
911,43453,12/19/2018,18-M-01398,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,,"INSTALLATION OF DUCT, PIPING, AND VAV UNITS ON THE 2ND FLOOR (SNYDER PAVILLION/NORTH BUILDING), RELATED TO 18-B-03903",102500.0,,,
912,43547,12/21/2018,18-B-04102,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH 15232",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATIONS (1300 SF) LEVEL G,  FOR CT ROOM, CT CONTROL ROOM, HDR CONTROL ROOM AND CORRIDOR UPGRADE  AT A HOSPITAL",18960.0,,,
915,43556,12/21/2018,18-B-04053,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS (15404 SF)  23 FLOOR   FOR OFFICE AND CONFERENCE ROOMS AT A COMMERCIAL STRUCTURE,629450.0,,,
918,43596,12/24/2018,18-S-00572,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,FIRE FIGHTER SALES & SERVICE CO,"RELOCATION OF EXISTING SPRINKLER HEADS IN SUITE 304, RELATED 18-B-03279",1550.0,,,
921,43602,12/26/2018,18-E-02882,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,LIGHTHOUSE ELECTRIC CO,ELECTRICAL ALTERATIONS RELATED 17-B-05215/ENERGY INSP LIGHTING COMCHECK 2009 IECC,29000.0,,,
922,43636,12/27/2018,18-B-00132,2,0002E00053000000,"425 FORBES AVE, PITTSBURGH, PA 15219",A M PITT HOTEL LLC,MASCARO CONSTRUCTION COMPANY LP,AMENDING PERMIT 16-B-02648 - INTERIOR RENOVATIONS FOR NEW HOTEL USE ON 5TH AND 6TH FLOORS,4554959.0,,,
923,43658,12/27/2018,18-E-03041,2,0001D00012000000,"120 5TH AVE, PITTSBURGH, PA 15222",PGH NATIONAL BANK TRUSTEE,KEYSTONE ELECTRICAL,"ELECTRICAL ALTERATIONS TO INCLUDE DISCONNECTS, FIXTURES, AND OUTLETS ON 3RD FLOOR, RELATED TO 18-B-03699",150000.0,,,
924,43778,1/3/2019,18-M-01484,2,0001D00012000000,"120 5TH AVE, PITTSBURGH, PA 15222",PGH NATIONAL BANK TRUSTEE,RUTHRAUFF SAUER,AIR DISTRIBUTION AND HEATING RECONFIGURATION ON 3RD FLOOR RELATED TO 18-B-03699,24000.0,,,
925,43796,1/3/2019,18-B-04205,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MASSARO CORPORATION,INTERIOR RENOVATIONS TO THE FIRST FLOOR OF THE SOUTH TOWER OF HOSPTIAL,368430.0,,,
926,43804,1/3/2019,18-E-03350,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,HANLON ELECTRIC COMPANY,(AMENDING 18-E-01623) EMERGENCY POWER SYSTEM UPGRADES TO MEDICAL ARTS BUILDING,157000.0,,,
930,43836,1/4/2019,18-E-02902,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,"MILLER ELECTRIC CONSTRUCTION, INC",ELECTRICAL ALTERATIONS ON 23RD FLOOR RELATED TO 18-B-04053/ENERGY INSP REQUIRED-COMCHECK 2015 IECC,225000.0,,,
933,43838,1/4/2019,18-E-02487,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,"MILLER ELECTRIC CONSTRUCTION, INC",ELECTRICAL FITOUT AMENDING PERMIT 18-E-00074 TO ADJUST 2ND FLOOR LAYOUT - RELATED TO 18-B-03484 - INSTALLED ITEMS IDENTIFIED LIMITED TO ADDITIONAL DEVICES/EQUIPMENT,0.0,,,
936,43842,1/4/2019,18-E-03016,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,LIGHTHOUSE ELECTRIC CO,INSTALLATION OF WIRING AND DISCONNECTS (RELATED TO BOILER REPLACEMENT ON 17TH FLOOR),60000.0,,,
939,43846,1/4/2019,18-F-00459,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,LIGHTHOUSE ELECTRIC CO,ADDING (1) SPEAKER STROBE DEVICE AND (2) DUCT DETECTORS,4000.0,,,
940,43865,1/4/2019,18-B-04174,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,"MBM CONTRACTING, INC",INTERIOR DEMOLITION TO SNYDER PAVILION (1ST FLOOR) OF A COMMERCIAL STRUCTURE (ALLEGHENY GENERAL HOSPITAL),195000.0,,,
941,43872,1/4/2019,18-M-01536,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,MCKAMISH,REPLACE AIR HANDLER AND NEW DUCTWORK/ PIPING,594362.0,,,
942,43902,1/7/2019,18-B-04491,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,"(AMENDING PERMIT 18-B-02622))
INTERIOR RENOVATIONS TO 1336 SF ON SECOND FLOOR (2700 STE)  EXTERIOR RENOVATIONS TO REMOVE SKY-LITE AND IN-FILL ROOF  IN EXISTING HOSPITAL",202582.0,,,
946,44064,1/10/2019,18-B-04579,14,0052K00227000000,"4802 5TH AVE, PITTSBURGH, PA 15213",CARNEGIE MELLON UNIVERSITY,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATION ON 1ST FLOOR OF A COMMERICAL STRUCTURE,75000.0,,,
947,44192,1/15/2019,19-B-00172,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,"MBM CONTRACTING, INC",INTERIOR GARAGE RENOVATION,17000.0,,,
948,44207,1/15/2019,19-B-00052,22,0023R00157000000,"6 ALLEGHENY SQ E, PITTSBURGH, PA 15212",ALLEGHENY CITY,A MARTINI & CO INC,INTERIOR RENOVATIONS TO EXISTING STRUCTURE,110100.0,,,
949,44219,1/16/2019,18-F-00470,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,,AMENDING 18-F-00284   RELATED TO 18-B-02622,0.0,,,
953,44220,1/16/2019,18-B-03419,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,IKM ARCHITECTURE,INTERIOR RENOVATIONS TO FIRST FLOOR (1020 SF) DIAGNOSTIC IMAGING (PAVILION) AT A HOSPITAL,200000.0,,,
956,44232,1/16/2019,18-B-03419,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,LANDAU BUILDING CO,INTERIOR RENOVATIONS TO FIRST FLOOR (1020 SF) DIAGNOSTIC IMAGING (PAVILION) AT A HOSPITAL,200000.0,,,
959,44249,1/16/2019,18-F-00488,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,"MILLER ELECTRIC CONSTRUCTION, INC",INSTALL NEW SYSTEM: 23RD FLOOR,20217.0,,,
962,44250,1/16/2019,18-E-02419,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,"MILLER ELECTRIC CONSTRUCTION, INC","NEW FIXTURES, OUTLETS, TRANSFORMERS, DISCONNECTS, AND PANELS -  RELATED TO 18-B-03364",200000.0,,,
965,44251,1/16/2019,18-E-03186,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,,AMENDING 18-E-01913       RELATED TO 18-B-04491,0.0,,,
969,44252,1/16/2019,18-M-01224,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,HRANEC SHEET METAL,"NEW DUCTWORK, VAVS, AND DIFFUSERS - RELATED TO 18-B-03364",65000.0,,,
972,44257,1/16/2019,18-M-01422,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,HRANEC SHEET METAL,HVAC ALTERATIONS ON 23RD FLOOR RELATED TO 18-B-04053,65000.0,,,
975,44271,1/17/2019,18-M-01472,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,RUTHRAUFF SAUER,1RST FLOOR SOUTH TOWER HVAC RENOVATIONS...RELATED 18-B-04205,38000.0,,,
976,44292,1/17/2019,18-B-04021,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,"(AMENDING PERMIT 17-B-04716)  INTERIOR  RENOVATIONS TO EXISTING SPACE , GROUND FLOOR- LEVEL G, TO INCLUDE EXPANSION OF PHARMACY, WORKROOM, OFFICE AND STORAGE AREA  AND REPLACE FIREPROOFING THAT WAS REQUIRED DUE TO ASBESTOS ABATEMENT AT A HOSPITAL",709288.0,,,
979,44325,1/18/2019,18-B-03965,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,MASCARO CONTRACTING LP,INTERIOR RENOVATIONS  LEVEL 1  (7700 SF)  FOR STERILE PROCESSING DEPARTMENT AT A COMMERCIAL STRUCTURE,684469.0,,,
983,44330,1/18/2019,18-S-00625,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,FIRE FIGHTER SALES & SERVICE CO,REPLACE/RELOCATE SPRINKLER HEADS ON 3RD FLOOR RELATED TO 18-B-03534,2235.0,,,
984,44341,1/18/2019,18-S-00625,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,FIRE FIGHTER SALES & SERVICE CO,REPLACE/RELOCATE SPRINKLER HEADS ON 3RD FLOOR RELATED TO 18-B-03534,2235.0,,,
985,44408,1/23/2019,18-S-00629,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,JOHNSON CONTROLS FIRE PROTECTION LP,NEW SPRINKLERS AND PIPE FOR GAMA AREA,20000.0,,,
986,44409,1/23/2019,18-S-00629,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,JOHNSON CONTROLS,NEW SPRINKLERS AND PIPE FOR GAMA AREA,20000.0,,,
987,44480,1/24/2019,18-B-03364,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS 25TH FLOOR  (15466 SF)  OFFICE SPACE AT A 34-STORY STRUCTURE,627271.0,,,
990,44481,1/24/2019,18-B-02171,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATIONS. EXTERIOR RENOVATIONS TO INCLUDE ADDITIONS (TWO VESTIBULES AND ATM ENCLOSURE), FAÇADES, WINDOWS, DOORS, AND CANOPIES ON THE GROUND FLOOR.",490671.15,,,
993,44530,1/25/2019,18-M-01235,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,MCKAMISH,"NEW CHILLER, PIPING, EXHAUST, VAV,  AND DUCTWORK FOR MRI SUITE - RELATED TO 18-B-03419",37753.0,,,
996,44541,1/28/2019,18-B-03077,2,0001D00012000000,"120 5TH AVE, PITTSBURGH, PA 15222",PGH NATIONAL BANK TRUSTEE,MASSARO CORPORATION,INTERIOR RENOVATIONS TO 7000 SQ FT ON 3RD FLOOR OF 28 STORY STRUCTURE,488141.0,,,
997,44547,1/28/2019,18-F-00409,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,,NEW AND RELOCATED DEVICES - RELATED 18-B-03965,25000.0,,,
1001,44548,1/28/2019,18-E-02830,12,0171E00150000000,"815 FREEPORT RD, PITTSBURGH, PA 15215",CITY OF PITTSBURGH,,NEW PANEL AND ELECTRICAL ALTERATIONS - RELATED 18-B-03965,370000.0,,,
1005,44615,1/30/2019,18-S-00459,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,PREFERRED FIRE PROTECTION INC,"RENOVATION TO EXISTING SPRINKLER SYSTEM SERVING APPROXIMATELY 1,300 SQ FT OF THE 5TH FLOOR IN POSNER TOWER RELATED TO 18-B-03312",8076.0,,,
1008,44617,1/30/2019,18-S-00641,22,0023M00012000000,"320 E NORTH AVE, PITTSBURGH, PA 15212",ALLEGHENY GENERAL HOSPITAL,PREFERRED FIRE PROTECTION,MODIFY EXISTING SYSTEM FOR EMERGENCY DEPARTMENT EXPANSION,131080.0,,,
1009,44723,2/4/2019,18-M-01168,2,0001D00190000000,"620 LIBERTY AVE, PITTSBURGH, PA 15222",PITTSBURGH NATIONAL BANK,RUTHRAUFF SAUER,"NEW DUCTS, DIFFUSERS, AND VAVS RELATED TO 18-B-02171 (AMENDING PERMIT 18-M-00624)",38000.0,,,
1012,44842,2/6/2019,18-B-04102,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH 15232",SHADYSIDE HOSPITAL,MASCARO CONSTRUCTION COMPANY LP,"INTERIOR RENOVATIONS (1300 SF) LEVEL G,  FOR CT ROOM, CT CONTROL ROOM, HDR CONTROL ROOM AND CORRIDOR UPGRADE  AT A HOSPITAL",121300.0,,,
1015,44843,2/6/2019,18-B-04102,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH 15232",SHADYSIDE HOSPITAL,VOLPATT CONSTRUCTION CORPORATION,"INTERIOR RENOVATIONS (1300 SF) LEVEL G,  FOR CT ROOM, CT CONTROL ROOM, HDR CONTROL ROOM AND CORRIDOR UPGRADE  AT A HOSPITAL",121300.0,,,
1018,44900,2/8/2019,19-S-00061,2,0001D00012000000,"120 5TH AVE, PITTSBURGH, PA 15222",PGH NATIONAL BANK TRUSTEE,PREFERRED FIRE PROTECTION,"RELOCATION OF EXISTING SPRINKLER HEADS IN 3RD FLOOR OFFICE - RELATED 18-B-04792
(AMENDING PERMIT 18-S-00576)",22920.0,,,
1019,44931,2/8/2019,18-L-00009,1,0002M00310000000,"1626 LOCUST ST, PITTSBURGH, PA 15219",UPMC MERCY,MASCARO CONSTRUCTION COMPANY LP,LAND OPERATIONS EXCAVATION/FILL/GRADING/SITE PREPARATION FOR FUTURE HOSPITAL BUILDING,7922000.0,,,
1020,44963,2/11/2019,19-B-00087,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,MASCARO CONSTRUCTION COMPANY LP,INTERIOR RENOVATIONS TO 4142 SF OF FOURTH FLOOR IN EXISTING STRUCTURE,236152.0,,,
1021,44982,2/11/2019,19-M-00030,22,0008L00008000000,"115 FEDERAL ST, PITTSBURGH, PA 15212",SPORTS & EXHIBITION AUTH OF PITTSBURGH,HUCKESTEIN MECHANICAL SERVICES,REPLACEMENT AND ADDITION OF VARIABLE VOLUME BOX WITH HOT WATER REHEAT REPLACE DIFFUSERS RELATED TO 19-B-00087,247177.0,,,
1022,45118,2/14/2019,18-E-02097,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,UPMC,ELECTRIC ASSOCIATED WITH 18-B-02801,12500.0,,,
1025,45120,2/14/2019,18-B-02801,7,0051R00150000000,"5230 CENTRE AVE, PITTSBURGH, PA 15232",SHADYSIDE HOSPITAL,UPMC - PRESBYTERIAN SHADYSIDE,"INTERIOR RENOVATIONS,  ACCESSIBILITY UPGRADES AND FINISHES TO 1865 SQ FT ON LEVEL 5 STE 506 IN 7 STORY STRUCTURE (POB BUILDING)",64000.0,,,
